date,temperature,humidity,luminosity
2023-12-21 15:00:13.637,19.1,28.6,223
2023-12-21 15:00:08.596,19.0,28.3,226
2023-12-21 15:00:03.556,19.1,28.1,226
2023-12-21 14:59:58.517,19.1,28.0,227
2023-12-21 14:59:53.476,19.1,27.9,226
2023-12-21 14:59:48.437,19.1,27.9,227
2023-12-21 14:59:43.397,19.1,28.0,227
2023-12-21 14:59:38.357,19.1,28.2,227
2023-12-21 14:59:33.317,19.1,28.5,227
2023-12-21 14:59:28.277,19.1,28.7,227
2023-12-21 14:59:23.237,19.1,28.8,227
2023-12-21 14:59:18.197,19.1,28.7,227
2023-12-21 14:59:13.157,19.1,28.6,228
2023-12-21 14:59:08.116,19.1,28.5,228
2023-12-21 14:59:03.075,19.1,28.4,211
2023-12-21 14:58:58.034,19.1,28.3,227
2023-12-21 14:58:52.993,19.1,28.3,227
2023-12-21 14:58:47.952,19.1,28.2,227
2023-12-21 14:58:42.912,19.1,28.3,225
2023-12-21 14:58:37.871,19.1,28.1,226
2023-12-21 14:58:32.830,19.1,28.0,225
2023-12-21 14:58:27.790,19.1,28.0,225
2023-12-21 14:58:22.750,19.1,28.1,225
2023-12-21 14:58:17.709,19.1,28.3,225
2023-12-21 14:58:12.669,19.1,28.5,195
2023-12-21 14:58:07.628,19.1,28.6,187
2023-12-21 14:58:02.588,19.1,28.6,186
2023-12-21 14:57:57.547,19.0,28.4,187
2023-12-21 14:57:52.507,19.1,28.3,185
2023-12-21 14:57:47.466,19.1,28.0,183
2023-12-21 14:57:42.426,19.1,28.0,194
2023-12-21 14:57:37.385,19.1,27.9,195
2023-12-21 14:57:32.345,19.1,28.1,219
2023-12-21 14:57:27.305,19.1,28.0,224
2023-12-21 14:57:22.265,19.1,27.6,220
2023-12-21 14:57:17.227,19.1,27.2,210
2023-12-21 14:57:12.187,19.1,27.3,173
2023-12-21 14:57:07.146,19.1,27.5,226
2023-12-21 14:57:02.106,19.1,27.5,225
2023-12-21 14:56:57.066,19.1,27.7,225
2023-12-21 14:56:52.026,19.1,27.9,224
2023-12-21 14:56:46.985,19.1,28.0,155
2023-12-21 14:56:41.944,19.1,28.2,155
2023-12-21 14:56:36.903,19.1,28.2,225
2023-12-21 14:56:31.863,19.1,28.0,224
2023-12-21 14:56:26.823,19.1,27.8,224
2023-12-21 14:56:21.783,19.0,27.8,94
2023-12-21 14:56:16.741,19.1,27.3,227
2023-12-21 14:56:11.700,19.1,27.3,217
2023-12-21 14:56:06.660,19.1,26.8,189
2023-12-21 14:56:01.620,19.1,26.9,168
2023-12-21 14:55:56.581,19.1,27.0,173
2023-12-21 14:55:51.541,19.1,26.9,178
2023-12-21 14:55:46.501,19.1,27.1,122
2023-12-21 14:55:41.461,19.1,27.2,96
2023-12-21 14:55:36.420,19.0,27.2,96
2023-12-21 14:55:31.380,19.1,27.4,187
2023-12-21 14:55:26.339,19.0,27.4,191
2023-12-21 14:55:21.299,19.0,27.6,191
2023-12-21 14:55:16.258,19.0,27.7,191
2023-12-21 14:55:11.217,19.1,27.8,191
2023-12-21 14:55:06.177,19.1,27.9,174
2023-12-21 14:55:01.136,19.1,28.0,173
2023-12-21 14:54:56.096,19.1,28.2,169
2023-12-21 14:54:51.054,19.0,28.5,191
2023-12-21 14:54:46.014,19.1,28.5,190
2023-12-21 14:54:40.974,19.0,28.5,174
2023-12-21 14:54:35.935,19.0,27.9,188
